pizza,restaurant,address_hours,locations,loc_sep
Butcher's Bolognese,Assembly Brewing,6159 SE Foster Rd / 11am-10pm Daily2934 NE Alberta St / 11am-10pm Daily,2,Daily
Homer's Hot Chicken Odyssey (Illegal in 42 States),Atlas Pizza,710 N. Killingsworth / Sun-Thu 11:30am-9pm / Fri-Sat 11:30am-10pm,1,
The Arthur Ave,Atlas Pizza,3570 SE Division St. / Mon-Fri 4pm-10pm,1,
The Maize Runner,Atlas Pizza,6529 SE Foster Rd. / Mon-Fri 4pm-10pm,1,
Chicken Shawarma!,Baby Doll Pizza,2835 SE Stark St. / Monday 4pm-8pm / Tue-Sun 12pm-8pm,1,
Smash or Pass,Boxcar Pizza,2701 NE Sandy Blvd - 11:30am-9pm Daily,1,
Spicy Carribbean Pizza,Brix Tavern,1338 NW Hoyt St. / Mon-Thu 11am - 10pm / Fri 11am - 11pm / Sat 9:30am - 11pm / Sun 9:30 am - 10pm,1,
Carina Had a Little Lamb,Carina Lounge,410 NW 21st Ave. / Wed-Thu 4:30pm-9:00pm / Fri-Sat 4:30pm-10:00pm / Sunday 4:30pm-8pm / Closed Monday and Tuesday,1,
Pizza Piedra,Clarklewis,"1001 SE Water Ave, Suite 160 / Sun-Thu 4pm-9pm / Fri-Sat: 4pm-10pm",1,
BURNSIDE CREAMPIE,Dante's,350 West Burnside St. / 11am-2am Daily,1,
Thank You Verde Much!,East Glisan Pizza Lounge,8001 NE Glisan St. Sun-Tue 5pm-9pm / Closed Wed / Thu-Sat 5pm-11pm,1,
The Sun Also Rises,Fino Bistro & Pizzeria,8225 N. Denver Ave. / Mon-Thu 11:30am-9pm / Fri-Sat 11:30am-10pm / Sun 11:30am-9pm,1,
Asparagus Ricotta Truffle,HOTLIPS Pizza-Hawthorne,Hawthorne - 2211 SE Hawthorne Blvd / 11am - 9pm DailyPearl - 721 NW 9th Ave / 11am - 9pm Daily,2,"Hawthorne - , Pearl -"
Charlotte's Revenge,Humdinger Pizza,9201 SE Foster Rd. / 11am 10pm Daily,1,
Jagger’s Pie,Love Verona Pizza & Pasta,St Johns: 8436 N Ivanhoe St. / Monday - Saturday 10:30am -11:30pm PSU: 540 SW College St. / Monday 10:30am / Tuesday Closed / Wed-Sat 10:30am-1am / Sun 12pm-10:30pm,2,"St Johns: , PSU:"
The Stissing House BBQ Chicken,Meta Pizza,3541 SE Milwaukee Ave. / Tue-Thu 3pm-9pm / Fri-Sun 3pm-10pm. Closed Monday,1,
Smoky meatball with Vodka sauce,Metropolitan Tavern,"1021 NE Grand Ave / Mon-Fri 11am - 11pm, Sat-Sun 9:30am-11pm",1,
Spring Fever,Mississippi Pizza Pub & Atlantis Lounge,3552 N Mississippi Ave. - 11am - 10pm Daily,1,
Gucci,Oakshire Beer Hall,5013 NE 42nd Ave. / 12pm - 9pm Daily,1,
Hot Chick'n Summer,Old Town Brewing,5201 NE Martin Luther King Jr Blvd. Mon-Thur 4pm-9pm / Fri 3pm-9pm / Sat 12pm-9pm / Sun 4pm-9pm,1,
Porchetta Pig,Oven & Shaker,1134 NW Everett St. / Sun-Thu 11:30am - 9pm / Fri-Sat 11:30am - 10pm,1,
The Questing Taco,Paladin Pie,1027 NE Alberta St - Closed Mon / Tue-Thur 4pm-8pm / Fri & Sat 12pm-9pm / Sun 12pm-8pm,1,
Rankin's NAUGHTY Nashville Hot Chicken Pizza,Red Sauce Pizza,4641 NE Fremont St. / Sun-Thu 4pm-8pm / Fri-Sat 4pm-9pm,1,
Pizzaleada Mamalona,Reeva Cafe y Cocina a la Leña,7727 NE Sandy Blvd - Mon-Thu 12pm-8pm / Fri-Sat 9pm-8pm / Sunday 9pm-7pm,1,
El Pepperoni Loco,Rudy's Gourmet Pizza,2443 SE Powell Blvd / 12pm - 12am Daily,1,
White Noise,Ruse Brewing,4784 SE 17th AVE STE 100 / Wed-Thu 3pm-8pm / Friday 3pm-9pm / Saturday 12pm-9pm / Sunday 12pm-8pm,1,
"So What, No F*ckin' Ziti Now?!",Scottie's Pizza Parlor,Division - 2128 SE Division St. - Wed-Sat 3pm-8pm NW - 685 NW 21st Ave. -Tue-Sat 12pm-8pm,2,"Division - , NW -"
Hit Me Bánh mì One More Time,Signal Station Pizza,8302 N Lombard / Mon-Thu 11am-9pm / Fri-Sat 11am-9:30pm / Sunday 12pm-8pm,1,
Return to the 36 Chambers,Sizzle Pie,949 SW Oak. 11AM-Midnight Daily,1,
"Peace, Love, & Parm",Society Pie,"8410 SW Nimbus Ave, Beaverton, OR / Mon-Fri 11am-7pm / Sat-Sun 4pm-7pm",1,
Kenny's Munchie Run,Sparky's Pizza,7530 NE MLK Blvd. / Mon-Fri 10:30am-9pm / Saturday 11am-9pm / Sunday 12pm-9pm,1,
The Interior Decorator,Sparky's Pizza,2434 NE MLK Blvd. / Mon-Sat 11am-9pm / Sunday 12pm-9pm,1,
bomb DOT pom,Straight From New York Pizza,3330 SE Belmont St. / Mon–Thu 11 am–12am / Fri–Sat 11 am–2 am / Sun 11 am–12am,1,
Megan Thee Scallion,Straight From New York Pizza,3701 SE Hawthorne Blvd. / Mon–Thu 11am–11pm / Fri–Sat 11am–12am / Sun 11am–11pm,1,
Ricotta Have It,Tartuca,3951 N Mississippi Ave. / Sun-Thu 4pm-8:30pm / Fri-Sat 4pm-9:30pm / Sunday 4pm-8:30pm. Pizza Week is offered at DINNER ONLY,1,
Chicken Satay Pizza,Taylor Street Tavern,"808 SW Taylor St./ Monday through Friday Breakfast 7am-10am, Monday through Friday lunch 11am - 2 pm, Tuesday through Friday dinner 5pm-9pm, Saturday & Sunday Brunch 9am-2pm, Saturday Dinner 5pm-9pm",1,
Garden Variety Pig,The Blind Onion,6031 SE Belmont St. / Sun-Thu 11am - 9pm / Fri-Sat 11am - 10pm,1,
The Dream Scheme,The Secret Pizza Society,7201 NE Glisan St. / Mon-Thu 11am-9pm / Fri-Sat 1pm-10pm / Sunday 1pm-9pm,1,
Pizza Verano,The Star,1309 NW Hoyt St. / Sun-Thu 11:30am-9pm / Fri-Sat 11:30am-10pm,1,
Miss Vanjie,Via Chicago,2013 NE Alberta - Monday 12pm-8pm / Tue-Thur 12pm-9pm / Fri-Sat 12pm-10pm / Sunday 12pm-8pm,1,
The Green Dragon,Virtuous Pie,1126 SE Division St Suite 200 / Sun-Thu 11am-9pm / Fri-Sat 11am-10pm,1,
Korean BBQ Pie,Von Ebert Brewing,11800 NW Cedar Falls Dr #110 / Sun-Thu 11:30am-9pm / Fri-Sat 11:30am-10pm,1,
Not Just for Pasta,Von Ebert Brewing,131 NW 13th Ave. / Wed-Sun 12pm-9pm / Closed Mon-Tue,1,
Not Just for Hoagies,Von Ebert Brewing Pizzeria & Taproom,10111 NE Cascades Pkwy. / 11am-9pm Daily,1,
Cubano Pie,Von Ebert East,"14021 NE Glisan St,. / 11:30am-9pm Daily",1,
Aspara-Bliss Bruschetta,Wild Child Pizza and QD's Bar,Flanders: 1339 NW Flanders St. / Mon-Wed 4pm-9pm / Thu-Sat 12pm-10pm / Sunday 12pm-9pmAlberta: 2032 NE Alberta St. / Mon-Wed 4pm-9pm / Thu 4pm-10pm / Fri 2pm-10pm / Saturday 12pm-10pm / Sunday 12pm-9pm,2,"Flanders:, Alberta:"
